Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
10/10/2012,N (Jul 13),0,0,0,0,0,0,0,0,0
10/11/2012,N (Jul 13),0,0,0,0,0,0,0,0,0
10/12/2012,N (Jul 13),0,0,0,0,0,0,0,0,0
10/22/2012,N (Jul 13),25,25,24.45,24.45,24.4,24.4,30,0,30
10/23/2012,N (Jul 13),24.7,25.15,24.56,25.1,24.9,0.5,194,0,152
10/24/2012,N (Jul 13),24.55,24.58,24.4,24.5,24.5,-0.4,30,0,157
10/25/2012,N (Jul 13),24.2,24.35,24.2,24.2,24.3,-0.2,71,0,227
10/26/2012,N (Jul 13),24.29,24.4,24.25,24.4,24.3,0,90,0,305
10/31/2012,N (Jul 13),24.1,24.5,24.1,24.5,24.55,0.25,55,0,351
11/01/2012,N (Jul 13),24.2,24.4,23.4,23.55,23.5,-1.05,127,0,391
11/02/2012,N (Jul 13),23.3,24.25,23.26,24.25,24.2,0.7,155,0,458
11/05/2012,N (Jul 13),24.05,24.3,23.88,24.3,24.3,0.1,45,0,487
11/06/2012,N (Jul 13),24,24.05,23.4,23.6,23.6,-0.7,19,0,487
11/07/2012,N (Jul 13),23.7,24.5,23.7,24.15,24.15,0.55,131,0,524
11/08/2012,N (Jul 13),23.9,24.39,23.9,24.39,24.25,0.1,7,0,524
11/09/2012,N (Jul 13),24.5,24.59,24.04,24.39,24.35,0.1,270,0,697
11/12/2012,N (Jul 13),24.4,24.4,23.65,23.7,23.75,-0.6,369,0,906
11/13/2012,N (Jul 13),24.11,24.11,23.53,23.75,23.7,-0.05,144,0,997
11/14/2012,N (Jul 13),23.75,24.15,23.5,24.07,24.05,0.35,908,0,1397
11/15/2012,N (Jul 13),23.95,24.35,23.85,24.35,24.3,0.25,322,0,1564
11/16/2012,N (Jul 13),24.05,24.7,23.8,23.85,23.9,-0.4,348,0,1789
11/19/2012,N (Jul 13),23.55,23.65,23.25,23.3,23.35,-0.55,222,0,1739
11/20/2012,N (Jul 13),23.14,23.31,22.95,23.1,23.1,-0.25,435,0,1977
11/21/2012,N (Jul 13),23.2,23.25,23.03,23.25,23.2,0.1,40,0,1982
11/23/2012,N (Jul 13),23.15,23.2,22.68,22.9,22.8,-0.4,72,0,2009
11/26/2012,N (Jul 13),22.8,22.9,22.52,22.63,22.65,-0.15,299,0,2043
11/27/2012,N (Jul 13),22.61,22.86,22.4,22.85,22.8,0.15,603,0,2224
11/28/2012,N (Jul 13),22.79,23.1,22.55,22.7,22.7,-0.1,554,0,2543
11/29/2012,N (Jul 13),22.5,22.61,22.4,22.46,22.45,-0.25,425,0,2737
11/30/2012,N (Jul 13),22.35,22.73,22.25,22.5,22.55,0.1,1047,0,3050
12/03/2012,N (Jul 13),22.4,22.9,22.26,22.9,22.9,0.35,736,0,3367
12/04/2012,N (Jul 13),22.76,22.85,22.5,22.85,22.85,-0.05,458,0,3510
12/05/2012,N (Jul 13),22.75,22.85,22.3,22.45,22.5,-0.35,569,0,3646
12/06/2012,N (Jul 13),22.48,22.55,22.35,22.45,22.5,0,687,0,3775
