Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/19/2004,Q (Aug 05),0,0,0,0,0,,0,0,0
11/22/2004,Q (Aug 05),0,0,0,0,173.6,173.6,0,0,0
11/23/2004,Q (Aug 05),174.7,178.2,174.7,177.9,177,3.4,36,0,36
11/24/2004,Q (Aug 05),0,0,0,0,176.8,-0.2,0,0,36
11/26/2004,Q (Aug 05),0,0,0,0,176.6,-0.2,0,0,36
11/29/2004,Q (Aug 05),177.4,177.4,177.2,177.2,177.8,1.2,11,0,47
11/30/2004,Q (Aug 05),0,0,0,0,177.9,0.1,0,0,47
12/01/2004,Q (Aug 05),0,0,0,0,177.5,-0.4,0,0,47
12/02/2004,Q (Aug 05),177,177.8,177,177.8,177.5,0,6,0,53
12/03/2004,Q (Aug 05),176.5,176.6,176.5,176.6,177.2,-0.3,5,0,58
12/06/2004,Q (Aug 05),0,0,0,0,177.2,0,0,0,58
12/07/2004,Q (Aug 05),176.4,176.4,176.4,176.4,178.3,1.1,9,0,58
12/08/2004,Q (Aug 05),177.7,177.7,174.5,174.5,174.5,-3.8,93,0,146
12/09/2004,Q (Aug 05),175.6,176.2,172,172,171.5,-3,117,0,255
12/10/2004,Q (Aug 05),171.5,172,171.5,172,171.8,0.3,7,0,208
12/13/2004,Q (Aug 05),,,,,169.3,-2.5,78,0,265
12/14/2004,Q (Aug 05),168.7,168.7,167.4,167.5,167.1,-2.2,67,0,330
12/15/2004,Q (Aug 05),166.2,166.2,166.1,166.1,165.6,-1.5,20,0,350
12/16/2004,Q (Aug 05),167.2,167.6,167.2,167.6,166.6,1,4,0,350
12/17/2004,Q (Aug 05),167.7,167.7,166.5,166.5,166.9,0.3,45,0,375
12/20/2004,Q (Aug 05),166.2,166.2,165.8,166,165.5,-1.4,13,0,388
12/21/2004,Q (Aug 05),166.6,167,166,166,166.5,1,34,0,388
12/22/2004,Q (Aug 05),167,167,167,167,167.2,0.7,3,0,388
12/23/2004,Q (Aug 05),167.2,167.2,167.2,167.2,167.2,0,2,0,386
12/27/2004,Q (Aug 05),0,0,0,0,167.5,0.3,0,0,386
12/28/2004,Q (Aug 05),167.4,167.7,167.4,167.7,167.6,0.1,7,0,393
12/29/2004,Q (Aug 05),0,0,0,0,168,0.4,0,0,393
12/30/2004,Q (Aug 05),168.3,168.3,168.3,168.3,168.1,0.1,2,0,395
12/31/2004,Q (Aug 05),168.9,168.9,168.9,168.9,169.4,1.3,1,0,396
01/03/2005,Q (Aug 05),170,170,170,170,170.7,1.3,2,0,388
01/04/2005,Q (Aug 05),170.6,170.8,170.6,170.8,171.4,0.7,2,0,388
01/05/2005,Q (Aug 05),171.6,171.6,171.6,171.6,171.4,0,1,0,389
01/06/2005,Q (Aug 05),171.6,171.6,171.1,171.1,172,0.6,6,0,394
01/07/2005,Q (Aug 05),174,174,173.6,173.6,173.1,1.1,301,0,695
01/10/2005,Q (Aug 05),171.4,171.4,171,171,171.6,-1.5,502,0,1189
01/11/2005,Q (Aug 05),0,0,0,0,170.8,-0.8,0,0,1189
01/12/2005,Q (Aug 05),0,0,0,0,168.2,-2.6,0,0,1189
1/13/2005,Q (Aug 05),168,168,167,167,166.4,-1.8,18,0,1207
1/14/2005,Q (Aug 05),0,0,0,0,165.8,-0.6,0,0,1207
1/18/2005,Q (Aug 05),165,165,162.8,163,162.5,-3.3,23,0,1224
1/19/2005,Q (Aug 05),0,0,0,0,164.8,2.3,0,0,1224
1/20/2005,Q (Aug 05),164.7,164.7,164.7,164.7,165.2,0.4,1,0,1224
1/21/2005,Q (Aug 05),167,167,167,167,166.6,1.4,2,0,1224
1/24/2005,Q (Aug 05),0,0,0,0,166.4,-0.2,0,0,1224
1/25/2005,Q (Aug 05),166.7,166.7,166.7,166.7,166.2,-0.2,11,0,1235
1/26/2005,Q (Aug 05),166.3,166.3,166.3,166.3,165.2,-1,1,0,1236
1/27/2005,Q (Aug 05),164.1,164.1,159.6,160,159.2,-6,82,0,1317
1/28/2005,Q (Aug 05),0,0,0,0,158.4,-0.8,0,0,1317
1/31/2005,Q (Aug 05),157.2,157.2,156,156,155.5,-2.9,22,0,1335
02/01/2005,Q (Aug 05),155,155,152.8,152.8,152.7,-2.8,45,0,1345
02/02/2005,Q (Aug 05),152,152,149.6,149.6,148.5,-4.2,40,0,1382
02/03/2005,Q (Aug 05),149.4,150.6,146.5,146.5,146.5,-2,76,0,1442
02/04/2005,Q (Aug 05),146.8,147.1,143.5,143.5,144.3,-2.2,82,0,1442
02/07/2005,Q (Aug 05),143.5,144.7,143.5,144.7,144.2,-0.1,32,0,1444
02/08/2005,Q (Aug 05),144,144,141,141,140.8,-3.4,76,0,1517
02/09/2005,Q (Aug 05),141.5,143.3,141.5,143.3,142.3,1.5,47,0,1541
02/10/2005,Q (Aug 05),143,144.1,142.5,143,142.1,-0.2,504,0,2017
02/11/2005,Q (Aug 05),140.3,140.3,137,137.5,137,-5.1,164,0,2677
2/14/2005,Q (Aug 05),138.3,138.7,137.4,137.4,137.1,0.1,82,0,2759
2/15/2005,Q (Aug 05),137.3,137.3,136.5,136.5,136.6,-0.5,3,0,2759
2/16/2005,Q (Aug 05),138.1,138.1,135.3,135.3,135.2,-1.4,76,0,2795
2/17/2005,Q (Aug 05),136.1,138.7,136.1,137,137.3,2.1,81,0,2871
2/18/2005,Q (Aug 05),136,137.5,136,137.5,137.7,0.4,17,0,2695
2/22/2005,Q (Aug 05),137.1,142.8,136.2,142,141.6,3.9,160,0,2766
2/23/2005,Q (Aug 05),140.4,140.4,139.2,139.5,139.9,-1.7,32,0,2771
2/24/2005,Q (Aug 05),140.5,140.9,138,138,137.7,-2.2,71,0,2826
2/25/2005,Q (Aug 05),137.9,137.9,136,136,135.6,-2.1,72,0,2877
2/28/2005,Q (Aug 05),136.5,138.1,136.5,138.1,137.7,2.1,36,0,2908
03/01/2005,Q (Aug 05),137.4,138.2,137.4,138.2,137.8,0.1,20,0,2928
03/02/2005,Q (Aug 05),139.2,140.8,139.2,140.8,140.2,2.4,36,0,2916
03/03/2005,Q (Aug 05),141,142,140.1,141,140.9,0.7,87,0,2972
03/04/2005,Q (Aug 05),140,140,138.8,138.8,139.6,-1.3,9,0,2973
03/07/2005,Q (Aug 05),139.3,139.3,138,138.2,138.1,-1.5,37,0,3004
03/08/2005,Q (Aug 05),139,139.8,139,139.8,139.8,1.7,28,0,3029
03/09/2005,Q (Aug 05),141,141.5,139.5,139.5,139.4,-0.4,164,0,3147
03/10/2005,Q (Aug 05),140,141,140,140.2,140.6,1.2,111,0,3151
03/11/2005,Q (Aug 05),141.5,142,141.5,142,141.8,1.2,41,0,3185
3/14/2005,Q (Aug 05),149.5,149.5,142.5,142.5,142.6,0.8,191,0,3345
3/15/2005,Q (Aug 05),143.7,144,143.7,144,143.8,1.2,37,0,3312
3/16/2005,Q (Aug 05),146,146.7,145,146.5,146.4,2.6,135,0,3367
3/17/2005,Q (Aug 05),146.5,148,146.5,147.1,147.8,1.4,80,0,3326
3/18/2005,Q (Aug 05),148,149,148,148.1,148.6,0.8,61,0,3325
3/21/2005,Q (Aug 05),149.7,151,149.4,150.8,150.3,1.7,168,0,3407
3/22/2005,Q (Aug 05),150.5,155,150.5,154.8,154.9,4.6,497,0,3689
3/23/2005,Q (Aug 05),155,155.9,154.6,155.5,156.1,1.2,539,0,3250
3/24/2005,Q (Aug 05),155.6,155.6,152.5,152.5,153.7,-2.4,37,0,3258
3/28/2005,Q (Aug 05),0,0,0,0,154.3,0.6,0,0,3286
3/29/2005,Q (Aug 05),154.5,156,153.3,154.9,155.3,1,107,0,3310
3/30/2005,Q (Aug 05),156.2,158,155.6,156.2,154.8,-0.5,171,0,3300
3/31/2005,Q (Aug 05),154.5,154.5,154,154,154,-0.8,7,0,3304
04/01/2005,Q (Aug 05),152.6,157.9,150.5,156.8,156.3,2.3,595,0,3565
04/04/2005,Q (Aug 05),157.6,159.9,155.8,155.9,155.4,-0.9,101,0,3520
04/05/2005,Q (Aug 05),156.4,156.4,155,155,155,-0.4,133,0,3141
04/06/2005,Q (Aug 05),154.4,154.4,152.1,152.1,153,-2,3,0,3138
04/07/2005,Q (Aug 05),153,153,150.4,150.4,150.7,-2.3,175,0,3145
04/08/2005,Q (Aug 05),150,150,148.7,150,149.7,-1,30,0,3163
04/11/2005,Q (Aug 05),149.6,151.2,149.1,151.2,150.7,1,109,0,3207
04/12/2005,Q (Aug 05),149.4,152.6,147.5,147.5,147.5,-3.2,298,0,3353
4/13/2005,Q (Aug 05),151,151,151,151,151,3.5,20,0,3543
04/14/2005,Q (Aug 05),152,157.3,152,157.3,157.5,6.5,7,0,3386
04/15/2005,Q (Aug 05),157.6,164.1,156.7,164.1,163.2,5.7,92,0,3418
04/18/2005,Q (Aug 05),164.5,166,164.1,164.1,164.1,0.9,537,0,3958
04/19/2005,Q (Aug 05),163.4,163.4,158,159.6,158.5,-5.6,84,0,3998
04/20/2005,Q (Aug 05),159.4,165,158,165,164.8,6.3,1027,0,4302
04/21/2005,Q (Aug 05),161.5,161.5,154,154,153.6,-11.2,381,0,4145
04/22/2005,Q (Aug 05),154,158.7,152.5,158.7,155.6,2,352,0,4359
04/25/2005,Q (Aug 05),155.5,157,153,153,153.2,-2.4,91,0,4230
04/26/2005,Q (Aug 05),155.1,156,155,155,154.6,1.4,17,0,4283
04/27/2005,Q (Aug 05),156.3,158,156.3,157.5,155,0.4,31,0,4299
04/28/2005,Q (Aug 05),157.1,161.6,156.1,160,160.9,5.9,39,0,4305
04/29/2005,Q (Aug 05),157.8,162,157.8,158.5,158.9,-2,43,0,4295
05/02/2005,Q (Aug 05),155.5,157.7,155.4,156,155.4,-3.5,24,0,4335
05/03/2005,Q (Aug 05),155.9,156,153,155,154.2,-1.2,119,0,4367
05/04/2005,Q (Aug 05),154.5,156.5,150,150,150.5,-3.7,1663,0,6037
05/05/2005,Q (Aug 05),148.5,150,137.1,150,147.8,-2.7,610,0,6169
05/06/2005,Q (Aug 05),147.7,148.5,147,148.5,148.7,0.9,26,0,6138
05/09/2005,Q (Aug 05),148.5,150,146.9,146.9,147.4,-1.3,81,0,6191
05/10/2005,Q (Aug 05),149,152.5,149,152,152.7,5.3,127,0,6278
05/11/2005,Q (Aug 05),153,157.5,153,154.5,152.8,0.1,756,0,6939
05/12/2005,Q (Aug 05),153.5,161,153.5,158.6,160,7.2,210,0,7083
05/13/2005,Q (Aug 05),160,165,157.5,162.7,162.3,2.3,191,0,7280
05/16/2005,Q (Aug 05),160.5,162,156.8,156.8,157.2,-5.1,179,0,7260
05/17/2005,Q (Aug 05),156.7,157.9,149.7,154,153.5,-3.7,390,0,7379
05/18/2005,Q (Aug 05),151.5,151.5,147.9,148.8,149.5,-4,174,0,7392
05/19/2005,Q (Aug 05),149.2,152.2,147.5,147.5,147.9,-1.6,284,0,7774
05/20/2005,Q (Aug 05),148.7,151,147.2,147.3,147.5,-0.4,254,0,7914
05/23/2005,Q (Aug 05),148.4,148.4,146,146,145.7,-1.8,230,0,7505
05/24/2005,Q (Aug 05),146.4,146.4,145,145,144.8,-0.9,89,0,7097
