Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/23/2013,V (Oct 13),20.1,20.1,19.85,20.1,20,20,3,0,3
01/24/2013,V (Oct 13),20.05,20.25,19.88,20.1,19.95,-0.05,37,0,29
01/25/2013,V (Oct 13),19.95,20.05,19.8,19.87,19.85,-0.1,120,0,153
01/28/2013,V (Oct 13),19.95,20.05,19.82,19.82,19.9,0.05,81,0,148
01/29/2013,V (Oct 13),19.93,20.05,19.65,19.68,19.75,-0.15,107,0,205
01/30/2013,V (Oct 13),19.8,20,19.64,20,20,0.25,40,0,230
01/31/2013,V (Oct 13),19.9,20.05,19.8,20.05,20.05,0.05,21,0,240
02/01/2013,V (Oct 13),20,20.05,19.8,20,20,-0.05,220,0,368
02/04/2013,V (Oct 13),20.2,20.4,19.95,20.4,20.25,0.25,24,0,378
02/05/2013,V (Oct 13),20.13,20.15,19.85,20.1,20.1,-0.15,31,0,379
02/06/2013,V (Oct 13),19.9,20.35,19.9,20.05,20.1,0,39,0,382
02/07/2013,V (Oct 13),19.85,20.4,19.85,20.05,20,-0.1,29,0,383
02/08/2013,V (Oct 13),20.05,20.05,19.74,19.77,19.8,-0.2,43,0,407
02/11/2013,V (Oct 13),20.15,20.15,19.45,19.52,19.55,-0.25,69,0,423
02/12/2013,V (Oct 13),19.65,19.65,19.35,19.46,19.45,-0.1,53,0,439
02/13/2013,V (Oct 13),19.35,19.6,19.33,19.43,19.45,0,89,0,489
02/14/2013,V (Oct 13),19.75,19.75,19.43,19.45,19.4,-0.05,99,0,528
02/15/2013,V (Oct 13),19.5,19.6,19.4,19.55,19.5,0.1,92,0,562
02/19/2013,V (Oct 13),19.45,19.45,19.14,19.15,19.2,-0.3,133,0,599
02/20/2013,V (Oct 13),19.05,19.52,19,19.52,19.5,0.3,330,0,799
02/21/2013,V (Oct 13),19.5,19.7,19.32,19.7,19.7,0.2,621,0,977
02/22/2013,V (Oct 13),19.65,19.65,19.24,19.45,19.4,-0.3,536,0,1154
02/25/2013,V (Oct 13),19.2,20.1,18.94,19.58,19.6,0.2,1267,0,1536
02/26/2013,V (Oct 13),19.65,19.8,19.24,19.6,19.65,0.05,966,0,1527
02/27/2013,V (Oct 13),19.6,19.62,19.08,19.24,19.25,-0.4,875,0,1807
02/28/2013,V (Oct 13),19.03,19.52,18.94,19.41,19.4,0.15,626,0,1867
03/01/2013,V (Oct 13),19.5,19.59,19.13,19.4,19.45,0.05,411,0,1951
03/04/2013,V (Oct 13),19.4,19.57,19.05,19.2,19.2,-0.25,158,0,1970
03/05/2013,V (Oct 13),18.95,19.09,18.75,18.9,18.85,-0.35,1116,0,2398
03/06/2013,V (Oct 13),18.75,18.95,18.71,18.75,18.75,-0.1,373,0,2490
03/07/2013,V (Oct 13),18.75,18.8,18.65,18.7,18.75,0,621,0,2591
03/08/2013,V (Oct 13),18.68,18.85,18.49,18.6,18.65,-0.1,845,0,2814
03/11/2013,V (Oct 13),18.78,18.85,18.58,18.58,18.6,-0.05,914,0,3140
03/12/2013,V (Oct 13),18.65,19.02,18.6,18.7,18.75,0.15,931,0,3465
03/13/2013,V (Oct 13),18.87,18.98,18.71,18.84,18.85,0.1,325,0,3554
03/14/2013,V (Oct 13),18.85,18.95,18.7,18.77,18.8,-0.05,991,0,4137
03/15/2013,V (Oct 13),18.72,18.94,18.7,18.79,18.8,0,296,0,4144
03/18/2013,V (Oct 13),19.25,19.35,18.85,19,19.05,0.25,349,0,4174
03/19/2013,V (Oct 13),18.9,19.4,18.79,19.15,19.1,0.05,1552,0,4184
03/20/2013,V (Oct 13),18.97,19.05,18.6,19.04,19.05,-0.05,1580,1,4755
03/21/2013,V (Oct 13),19.05,19.3,18.95,19.15,19.15,0.1,1600,0,5021
03/22/2013,V (Oct 13),19.04,19.2,18.95,19.19,19.2,0.05,1573,0,5527
03/25/2013,V (Oct 13),18.85,19.3,18.75,18.84,18.85,-0.35,2105,9,5677
03/26/2013,V (Oct 13),18.75,18.85,18.55,18.78,18.8,-0.05,1926,9,6065
03/27/2013,V (Oct 13),19,19.1,18.7,18.83,18.85,0.05,1853,0,6494
03/28/2013,V (Oct 13),18.73,18.95,18.73,18.88,18.9,0.05,1217,18,6883
04/01/2013,V (Oct 13),18.85,19.1,18.8,19.08,19.1,0.2,1186,0,7219
04/02/2013,V (Oct 13),18.95,18.95,18.65,18.83,18.85,-0.25,2725,0,7987
04/03/2013,V (Oct 13),18.8,19,18.69,18.94,18.95,0.1,2728,0,8623
04/04/2013,V (Oct 13),18.85,19.15,18.75,18.86,18.9,-0.05,3720,0,9299
04/05/2013,V (Oct 13),19.07,19.45,18.85,18.97,19,0.1,2522,16,9842
04/08/2013,V (Oct 13),18.89,18.9,18.55,18.62,18.65,-0.35,1871,0,10378
04/09/2013,V (Oct 13),18.55,18.7,18.4,18.49,18.5,-0.15,2292,20,11067
04/10/2013,V (Oct 13),18.4,18.4,18.13,18.23,18.25,-0.25,2781,66,12153
04/11/2013,V (Oct 13),18.2,18.32,17.95,18.25,18.25,0,3445,0,13523
04/12/2013,V (Oct 13),18.24,18.4,17.9,18.02,18.05,-0.2,2311,25,13802
04/15/2013,V (Oct 13),18.15,19.25,17.91,19.01,19,0.95,6727,0,14069
04/16/2013,V (Oct 13),18.45,18.5,17.95,18.29,18.3,-0.7,7490,0,16363
04/17/2013,V (Oct 13),18.45,18.8,18.3,18.4,18.4,0.1,8262,0,15704
04/18/2013,V (Oct 13),18.3,19.05,18.29,18.84,18.85,0.45,6258,0,15581
04/19/2013,V (Oct 13),18.6,19.17,18.45,19.11,19.15,0.3,9641,48,18487
04/22/2013,V (Oct 13),18.85,19.02,18.41,18.61,18.6,-0.55,6657,0,18605
04/23/2013,V (Oct 13),18.45,19.08,17.9,17.92,17.95,-0.65,5763,52,19134
04/24/2013,V (Oct 13),17.9,18.05,17.75,17.93,17.95,0,2629,42,19209
04/25/2013,V (Oct 13),17.8,18.01,17.65,17.92,17.95,0,1752,0,19118
04/26/2013,V (Oct 13),18.04,18.18,17.75,17.88,17.9,-0.05,4755,30,18576
04/29/2013,V (Oct 13),17.75,17.85,17.45,17.83,17.85,-0.05,4632,24,19081
04/30/2013,V (Oct 13),17.8,17.9,17.55,17.67,17.7,-0.15,3629,30,18735
05/01/2013,V (Oct 13),17.65,18.05,17.6,17.99,18,0.3,3956,0,18087
05/02/2013,V (Oct 13),17.85,18.04,17.65,17.9,17.9,-0.1,4861,24,19037
05/03/2013,V (Oct 13),17.85,17.92,17.55,17.72,17.75,-0.15,4734,191,19677
05/06/2013,V (Oct 13),17.7,17.8,17.3,17.35,17.35,-0.4,4795,12,18328
05/07/2013,V (Oct 13),17.35,17.35,17.18,17.28,17.3,-0.05,4179,0,19556
05/08/2013,V (Oct 13),17.3,17.5,17.23,17.36,17.4,0.1,3002,0,20133
05/09/2013,V (Oct 13),17.44,17.8,17.4,17.5,17.55,0.15,3211,0,19865
05/10/2013,V (Oct 13),17.55,17.9,17.54,17.74,17.75,0.2,4831,0,20446
05/13/2013,V (Oct 13),17.85,17.9,17.75,17.83,17.85,0.1,3212,0,21376
05/14/2013,V (Oct 13),17.8,17.84,17.67,17.78,17.8,-0.05,2286,0,21050
05/15/2013,V (Oct 13),17.85,17.98,17.78,17.87,17.9,0.1,2223,0,21067
05/16/2013,V (Oct 13),17.9,18.05,17.82,18.02,18.05,0.15,2872,0,20930
05/17/2013,V (Oct 13),17.97,18.1,17.8,17.86,17.9,-0.15,5500,0,20036
05/20/2013,V (Oct 13),17.8,18.1,17.8,18.02,18.05,0.15,3485,0,19816
05/21/2013,V (Oct 13),18.05,18.42,18,18.31,18.35,0.3,4691,52,19454
05/22/2013,V (Oct 13),18.3,18.46,18.05,18.23,18.25,-0.1,8039,226,19970
05/23/2013,V (Oct 13),18.5,18.95,18.25,18.38,18.4,0.15,7318,56,20211
05/24/2013,V (Oct 13),18.5,18.65,18.34,18.38,18.4,0,3322,28,19872
05/28/2013,V (Oct 13),18.2,18.49,18.2,18.22,18.25,-0.15,7376,12,19917
05/29/2013,V (Oct 13),18.44,18.5,18.1,18.2,18.25,0,8488,42,20190
05/30/2013,V (Oct 13),18.2,18.5,18.15,18.35,18.35,0.1,6608,92,20615
05/31/2013,V (Oct 13),18.55,18.8,18.27,18.76,18.8,0.45,5259,0,20748
06/03/2013,V (Oct 13),18.65,19.1,18.55,18.83,18.85,0.05,11686,0,21176
06/04/2013,V (Oct 13),18.85,19.09,18.75,18.86,18.9,0.05,4284,0,21172
06/05/2013,V (Oct 13),19,19.25,18.9,19.13,19.15,0.25,8829,413,21139
06/06/2013,V (Oct 13),19.05,19.62,18.88,19.03,19.05,-0.1,11726,63,22155
