Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/19/2013,X (Nov 13),19.35,19.58,19.2,19.58,19.5,19.5,39,0,32
02/20/2013,X (Nov 13),19.45,19.75,19.1,19.75,19.75,0.25,133,0,157
02/21/2013,X (Nov 13),19.87,20.2,19.25,20.1,20.15,0.4,359,0,282
02/22/2013,X (Nov 13),19.93,19.98,19.63,19.75,19.8,-0.35,394,0,503
02/25/2013,X (Nov 13),19.6,20.47,19.37,20.03,20,0.2,892,0,1012
02/26/2013,X (Nov 13),19.93,20.15,19.65,20,19.95,-0.05,207,0,1058
02/27/2013,X (Nov 13),19.95,19.98,19.43,19.65,19.6,-0.35,580,0,1322
02/28/2013,X (Nov 13),19.42,19.89,19.32,19.75,19.75,0.15,348,0,1485
03/01/2013,X (Nov 13),19.85,19.95,19.49,19.9,19.85,0.1,212,0,1558
03/04/2013,X (Nov 13),19.6,19.94,19.5,19.55,19.55,-0.3,67,0,1589
03/05/2013,X (Nov 13),19.4,19.45,19.13,19.2,19.15,-0.4,506,0,1823
03/06/2013,X (Nov 13),19.11,19.3,19.1,19.1,19.1,-0.05,191,0,1911
03/07/2013,X (Nov 13),19.08,19.15,19.03,19.1,19.1,0,492,0,2143
03/08/2013,X (Nov 13),19,19.17,18.9,19.04,19.05,-0.05,410,0,2372
03/11/2013,X (Nov 13),19.15,19.25,18.94,18.94,18.9,-0.15,616,0,2687
03/12/2013,X (Nov 13),19.07,19.3,18.95,19.05,19.1,0.2,446,0,2900
03/13/2013,X (Nov 13),19.2,19.27,19.04,19.15,19.15,0.05,177,0,2940
03/14/2013,X (Nov 13),19.2,19.2,19.05,19.1,19.1,-0.05,420,0,3121
03/15/2013,X (Nov 13),19.05,19.25,19.05,19.13,19.15,0.05,123,0,3117
03/18/2013,X (Nov 13),19.45,19.65,19.2,19.35,19.4,0.25,182,0,3110
03/19/2013,X (Nov 13),19.15,19.8,19.11,19.4,19.5,0.1,552,0,3085
03/20/2013,X (Nov 13),19.4,19.4,19.05,19.4,19.4,-0.1,155,0,3138
03/21/2013,X (Nov 13),19.5,19.65,19.35,19.45,19.45,0.05,185,0,3197
03/22/2013,X (Nov 13),19.35,19.48,19.3,19.45,19.45,0,396,0,3264
03/25/2013,X (Nov 13),19.15,19.65,19.15,19.2,19.2,-0.25,252,0,3337
03/26/2013,X (Nov 13),19.05,19.15,18.93,19.1,19.1,-0.1,411,0,3368
03/27/2013,X (Nov 13),19.22,19.4,19.09,19.2,19.2,0.1,348,0,3461
03/28/2013,X (Nov 13),19.15,19.3,19.15,19.27,19.25,0.05,155,0,3515
04/01/2013,X (Nov 13),19.2,19.4,19.17,19.4,19.4,0.15,214,0,3578
04/02/2013,X (Nov 13),19.15,19.25,19,19.15,19.15,-0.25,982,0,4024
04/03/2013,X (Nov 13),19.12,19.3,19.03,19.25,19.3,0.15,1045,0,4252
04/04/2013,X (Nov 13),19.12,19.45,19.1,19.2,19.25,-0.05,1015,0,4488
04/05/2013,X (Nov 13),19.45,19.75,19.2,19.3,19.3,0.05,805,0,4527
04/08/2013,X (Nov 13),19.21,19.25,18.95,18.95,19,-0.3,364,0,4473
04/09/2013,X (Nov 13),18.95,19.07,18.8,18.87,18.9,-0.1,280,0,4505
04/10/2013,X (Nov 13),18.8,18.8,18.55,18.7,18.65,-0.25,491,0,4619
04/11/2013,X (Nov 13),18.6,18.72,18.4,18.7,18.65,0,321,0,4616
04/12/2013,X (Nov 13),18.75,18.85,18.4,18.4,18.45,-0.2,413,0,4636
04/15/2013,X (Nov 13),18.6,19.75,18.4,19.36,19.35,0.9,960,0,4646
04/16/2013,X (Nov 13),18.74,18.95,18.4,18.63,18.65,-0.7,1072,0,4887
04/17/2013,X (Nov 13),18.89,19.15,18.65,18.84,18.85,0.2,3475,0,5535
04/18/2013,X (Nov 13),18.68,19.33,18.65,19.24,19.25,0.4,2249,0,6159
04/19/2013,X (Nov 13),19,19.45,18.82,19.42,19.45,0.2,5043,6,7545
04/22/2013,X (Nov 13),19.35,19.35,18.8,18.99,19,-0.45,3277,0,8106
04/23/2013,X (Nov 13),18.85,19.5,18.39,18.42,18.45,-0.55,2564,9,8334
04/24/2013,X (Nov 13),18.35,18.45,18.2,18.38,18.4,-0.05,2665,9,8843
04/25/2013,X (Nov 13),18.25,18.4,18.1,18.37,18.4,0,1135,0,8957
04/26/2013,X (Nov 13),18.45,18.55,18.2,18.32,18.35,-0.05,2634,8,9680
04/29/2013,X (Nov 13),18.2,18.25,17.87,18.22,18.25,-0.1,2500,9,10405
04/30/2013,X (Nov 13),18.25,18.25,17.9,18.03,18.05,-0.2,2471,11,11086
05/01/2013,X (Nov 13),18.05,18.37,18,18.32,18.35,0.3,2535,0,11575
05/02/2013,X (Nov 13),18.2,18.37,18,18.23,18.25,-0.1,1675,11,11771
05/03/2013,X (Nov 13),18.2,18.27,17.9,18.01,18.05,-0.2,3218,92,12207
05/06/2013,X (Nov 13),18.05,18.15,17.7,17.74,17.75,-0.3,2381,7,12365
05/07/2013,X (Nov 13),17.6,17.7,17.55,17.62,17.65,-0.1,1987,0,12739
05/08/2013,X (Nov 13),17.6,17.82,17.55,17.72,17.75,0.1,2599,0,13316
05/09/2013,X (Nov 13),17.8,18.1,17.74,17.88,17.9,0.15,2329,0,13828
05/10/2013,X (Nov 13),17.87,18.2,17.85,18.03,18.05,0.15,3001,0,14206
05/13/2013,X (Nov 13),18.15,18.21,18.06,18.12,18.15,0.1,1885,0,14607
05/14/2013,X (Nov 13),18.1,18.16,18.02,18.09,18.1,-0.05,1141,0,14831
05/15/2013,X (Nov 13),18.15,18.3,18.1,18.22,18.25,0.15,2696,0,15898
05/16/2013,X (Nov 13),18.2,18.5,18.17,18.49,18.5,0.25,3333,0,16898
05/17/2013,X (Nov 13),18.35,18.5,18.22,18.32,18.35,-0.15,3884,0,17584
05/20/2013,X (Nov 13),18.25,18.55,18.2,18.54,18.55,0.2,3059,0,18064
05/21/2013,X (Nov 13),18.5,18.9,18.45,18.86,18.9,0.35,4260,51,19115
05/22/2013,X (Nov 13),18.7,18.92,18.5,18.74,18.75,-0.15,4571,26,19828
05/23/2013,X (Nov 13),19,19.31,18.7,18.83,18.85,0.1,3976,137,19610
05/24/2013,X (Nov 13),18.92,19.05,18.75,18.83,18.85,0,2703,73,19859
05/28/2013,X (Nov 13),18.65,18.92,18.6,18.67,18.7,-0.15,5300,12,19824
05/29/2013,X (Nov 13),18.87,18.91,18.5,18.66,18.7,0,5319,42,20147
05/30/2013,X (Nov 13),18.65,18.9,18.6,18.74,18.75,0.05,5331,92,21191
05/31/2013,X (Nov 13),18.95,19.15,18.65,19.06,19.1,0.35,5023,0,22535
06/03/2013,X (Nov 13),19,19.45,18.95,19.18,19.2,0.1,7256,0,23728
06/04/2013,X (Nov 13),19.25,19.4,19.1,19.22,19.25,0.05,3617,0,23742
06/05/2013,X (Nov 13),19.4,19.6,19.25,19.48,19.5,0.25,6222,413,24377
06/06/2013,X (Nov 13),19.4,19.9,19.23,19.38,19.4,-0.1,6690,63,24812
06/07/2013,X (Nov 13),19.4,19.47,18.95,19.22,19.25,-0.15,3629,0,25066
06/10/2013,X (Nov 13),19.05,19.2,18.9,18.97,19,-0.25,5177,0,26938
06/11/2013,X (Nov 13),19.26,19.6,19.1,19.48,19.5,0.5,5204,46,27910
06/12/2013,X (Nov 13),19.35,20.12,19.22,20.03,20.05,0.55,8321,323,27626
06/13/2013,X (Nov 13),20.1,20.12,19.5,19.63,19.65,-0.4,7551,24,27267
06/14/2013,X (Nov 13),19.7,20.15,19.45,20.13,20.15,0.5,7275,25,27426
06/17/2013,X (Nov 13),19.9,20.1,19.73,19.93,19.95,-0.2,4468,12,27835
06/18/2013,X (Nov 13),19.94,19.97,19.75,19.87,19.9,-0.05,4785,0,28803
06/19/2013,X (Nov 13),19.88,20.04,19.24,19.98,20,0.1,7784,81,28781
06/20/2013,X (Nov 13),20.05,21.15,20,20.63,20.65,0.65,15602,0,28990
06/21/2013,X (Nov 13),20.31,21.03,20.05,20.56,20.6,-0.05,14559,115,30204
06/24/2013,X (Nov 13),20.93,21.45,20.85,21.18,21.2,0.6,11722,0,30393
06/25/2013,X (Nov 13),20.91,21.3,20.65,21.12,21.15,-0.05,7575,34,30282
