Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
03/25/2013,Z (Dec 13),19.48,19.6,19.45,19.48,19.4,19.4,1,0,1
03/26/2013,Z (Dec 13),19.5,19.5,19.1,19.35,19.3,-0.1,309,0,229
03/27/2013,Z (Dec 13),19.45,19.6,19.33,19.4,19.45,0.15,176,0,339
03/28/2013,Z (Dec 13),19.45,19.5,19.39,19.5,19.45,0,75,0,356
04/01/2013,Z (Dec 13),19.45,19.55,19.4,19.55,19.55,0.1,86,0,401
04/02/2013,Z (Dec 13),19.4,19.45,19.23,19.35,19.35,-0.2,555,0,731
04/03/2013,Z (Dec 13),19.36,19.5,19.3,19.45,19.5,0.15,285,0,864
04/04/2013,Z (Dec 13),19.45,19.65,19.34,19.4,19.45,-0.05,308,0,984
04/05/2013,Z (Dec 13),19.7,19.9,19.45,19.5,19.5,0.05,313,0,1107
04/08/2013,Z (Dec 13),19.4,19.4,19.2,19.2,19.2,-0.3,85,0,1152
04/09/2013,Z (Dec 13),19.2,19.25,19.1,19.15,19.15,-0.05,162,0,1197
04/10/2013,Z (Dec 13),19.03,19.03,18.79,18.9,18.9,-0.25,86,0,1211
04/11/2013,Z (Dec 13),18.75,19.01,18.7,18.95,19,0.1,86,0,1209
04/12/2013,Z (Dec 13),18.99,19.1,18.85,18.85,18.8,-0.2,83,0,1222
04/15/2013,Z (Dec 13),18.88,19.93,18.74,19.62,19.6,0.8,157,0,1246
04/16/2013,Z (Dec 13),19.25,19.25,18.79,18.94,18.95,-0.65,295,0,1392
04/17/2013,Z (Dec 13),19.2,19.4,18.95,19.05,19.05,0.1,740,0,1792
04/18/2013,Z (Dec 13),18.9,19.53,18.9,19.4,19.4,0.35,1028,0,2196
04/19/2013,Z (Dec 13),19.2,19.55,19.05,19.55,19.5,0.1,1324,0,2413
04/22/2013,Z (Dec 13),19.4,19.49,19.05,19.1,19.15,-0.35,835,0,2605
04/23/2013,Z (Dec 13),18.95,19.7,18.65,18.65,18.65,-0.5,764,0,2713
04/24/2013,Z (Dec 13),18.7,18.7,18.45,18.54,18.6,-0.05,472,0,2977
04/25/2013,Z (Dec 13),18.45,18.62,18.33,18.6,18.6,0,347,0,3092
04/26/2013,Z (Dec 13),18.65,18.76,18.46,18.6,18.6,0,875,0,3360
04/29/2013,Z (Dec 13),18.35,18.46,18.13,18.45,18.45,-0.15,1078,0,3711
04/30/2013,Z (Dec 13),18.45,18.54,18.2,18.3,18.3,-0.15,884,0,4113
05/01/2013,Z (Dec 13),18.25,18.65,18.25,18.6,18.6,0.3,1127,0,4603
05/02/2013,Z (Dec 13),18.45,18.61,18.27,18.45,18.45,-0.15,759,0,4955
05/03/2013,Z (Dec 13),18.45,18.45,18.2,18.2,18.25,-0.2,710,0,5142
