Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-08-22,K (May 2023),28.5500,28.6500,28.0500,28.6000,28.675,0,50,0,47
2022-08-23,K (May 2023),28.5600,28.5600,28.2700,28.3100,28.425,-0.250,30,0,76
2022-08-24,K (May 2023),28.3500,28.3500,28.2500,28.2500,28.275,-0.150,15,0,91
2022-08-25,K (May 2023),28.0500,28.1500,27.9500,28.0300,28.075,-0.200,191,0,265
2022-08-26,K (May 2023),28.0700,28.8500,28.0700,28.6700,28.80,0.725,40,0,287
2022-08-29,K (May 2023),28.9000,28.9000,28.5400,28.6900,28.55,-0.25,183,0,327
2022-08-30,K (May 2023),28.7000,28.8000,28.6000,28.6900,28.70,0.15,146,0,401
2022-08-31,K (May 2023),28.5000,28.7200,28.5000,28.6000,28.55,-0.15,179,0,516
2022-09-01,K (May 2023),28.7000,29.0500,28.5000,28.5000,28.525,-0.025,417,0,801
2022-09-02,K (May 2023),28.0200,28.6500,28.0000,28.5000,28.55,0.025,198,0,924
2022-09-06,K (May 2023),28.2500,28.8500,28.2500,28.7500,28.70,0.15,263,0,1122
2022-09-07,K (May 2023),28.7500,28.7600,25.0000,28.3200,28.275,-0.425,155,0,1220
2022-09-08,K (May 2023),28.3000,28.4000,28.1000,28.1000,28.225,-0.050,50,0,1230
2022-09-09,K (May 2023),27.9000,28.0500,27.8500,28.0500,28.00,-0.225,134,0,1235
2022-09-12,K (May 2023),27.8500,28.0500,27.8500,27.9000,27.90,-0.10,80,0,1264
2022-09-13,K (May 2023),28.1000,28.9500,28.0000,28.8500,28.90,1.00,156,0,1309
2022-09-14,K (May 2023),28.8500,28.9500,28.6900,28.8000,28.80,-0.10,265,0,1534
2022-09-15,K (May 2023),28.7800,28.9200,28.7000,28.8000,28.825,0.025,74,0,1536
2022-09-16,K (May 2023),28.9500,29.2000,28.7900,28.8500,28.75,-0.075,85,0,1571
2022-09-19,K (May 2023),28.9700,28.9700,28.3000,28.3000,28.40,-0.35,64,0,1606
2022-09-20,K (May 2023),28.4000,28.6700,28.3000,28.4500,28.50,0.10,45,0,1614
2022-09-21,K (May 2023),28.4500,28.7000,28.1900,28.7000,28.70,0.20,193,0,1650
2022-09-22,K (May 2023),28.6500,28.8500,28.5000,28.7000,28.70,0.00,362,0,1907
2022-09-23,K (May 2023),28.7500,29.6000,28.7500,29.2100,29.25,0.55,132,0,1969
2022-09-26,K (May 2023),29.4500,29.9500,29.1000,29.9500,29.925,0.675,176,0,2033
2022-09-27,K (May 2023),29.9000,30.2000,29.5000,29.9000,29.925,0.000,463,0,2156
2022-09-28,K (May 2023),29.8900,30.3500,29.5000,29.5000,29.525,-0.400,265,0,2118
2022-09-29,K (May 2023),29.4500,30.1000,29.4500,29.8000,29.85,0.325,379,0,2195
2022-09-30,K (May 2023),29.7000,30.0600,29.5000,29.9500,30.00,0.15,235,0,2213
2022-10-03,K (May 2023),30.0000,30.2000,29.3000,29.3500,29.425,-0.575,453,0,2418
2022-10-04,K (May 2023),29.3000,29.3500,28.9000,29.2800,29.35,-0.075,376,0,2451
2022-10-05,K (May 2023),29.3500,29.7500,29.3500,29.3500,29.425,0.075,541,0,2550
2022-10-06,K (May 2023),29.4500,29.8000,29.1600,29.7700,29.775,0.350,362,0,2682
2022-10-07,K (May 2023),29.8300,30.4000,29.6800,30.2500,30.20,0.425,634,0,2808
2022-10-10,K (May 2023),30.5000,30.6500,30.2500,30.4500,30.45,0.25,365,0,2857
2022-10-11,K (May 2023),30.4500,30.8100,30.3000,30.6500,30.75,0.30,936,0,3055
2022-10-12,K (May 2023),30.7200,30.8000,30.4500,30.7000,30.675,-0.075,280,0,3095
2022-10-13,K (May 2023),30.7000,31.0500,30.0200,30.1500,30.05,-0.625,448,0,3070
2022-10-14,K (May 2023),29.9500,30.8500,29.6700,30.6200,30.65,0.60,510,0,3150
2022-10-17,K (May 2023),30.4800,30.6000,29.9200,30.1000,30.15,-0.50,388,0,3156
2022-10-18,K (May 2023),29.9900,30.1000,29.7200,29.7700,29.90,-0.25,534,0,3396
2022-10-19,K (May 2023),29.7200,30.2500,29.6500,30.0200,30.0044,0.1044,1386,0,3671
2022-10-20,K (May 2023),30.0500,30.2000,29.7200,30.0200,30.05,0.0456,1913,0,3954
2022-10-21,K (May 2023),30.0200,30.1500,29.7500,29.8500,29.9917,-0.0583,1631,0,4280
2022-10-24,K (May 2023),29.8700,30.1500,29.6500,29.7500,29.7455,-0.2462,1914,0,4619
2022-10-25,K (May 2023),29.7000,29.8000,29.2000,29.3700,29.29,-0.4555,1039,0,4922
2022-10-26,K (May 2023),29.5000,29.5500,28.8000,28.9000,28.9406,-0.3494,1657,0,4836
2022-10-27,K (May 2023),28.9500,29.1500,28.6500,28.9500,28.85,-0.0906,1233,0,5011
2022-10-28,K (May 2023),28.9500,29.0500,28.2700,28.3500,28.425,-0.425,1202,0,5026
2022-10-31,K (May 2023),28.4300,28.6200,28.3500,28.4000,28.40,-0.025,973,0,5057
2022-11-01,K (May 2023),28.3500,28.3500,28.0500,28.1000,28.0935,-0.3065,1421,0,5352
2022-11-02,K (May 2023),28.0500,28.4500,27.8000,28.4000,28.45,0.3565,1306,0,5501
2022-11-03,K (May 2023),28.4000,28.6000,27.8700,28.0400,28.05,-0.40,1725,0,5571
2022-11-04,K (May 2023),28.1100,28.1700,27.4700,27.7500,27.717,-0.333,2173,0,5796
2022-11-07,K (May 2023),27.8500,27.8600,27.4500,27.6200,27.65,-0.067,1131,0,5946
2022-11-08,K (May 2023),27.6500,28.0000,27.4600,27.9200,27.95,0.30,2465,0,6122
2022-11-09,K (May 2023),27.9500,28.6000,27.8000,28.5500,28.5679,0.6179,2481,0,6366
2022-11-10,K (May 2023),28.5500,28.5500,27.5600,27.7700,27.8173,-0.7506,3153,0,6795
2022-11-11,K (May 2023),27.7500,28.0200,27.6500,27.9600,28.00,0.1827,2341,0,7137
2022-11-14,K (May 2023),27.9700,28.1500,27.7500,28.0700,28.1419,0.1419,1917,0,7140
2022-11-15,K (May 2023),28.0800,28.3700,27.7600,28.3500,28.25,0.1081,2468,0,7454
2022-11-16,K (May 2023),28.4500,28.4500,27.9500,28.0600,28.0425,-0.2075,2816,0,7873
2022-11-17,K (May 2023),28.0000,28.3900,27.9000,27.9700,27.9191,-0.1234,2554,0,7905
2022-11-18,K (May 2023),27.9500,28.0700,27.7500,27.7500,27.80,-0.1191,2386,0,8171
2022-11-21,K (May 2023),27.7500,27.9000,27.4200,27.4700,27.45,-0.35,2867,0,8530
2022-11-22,K (May 2023),27.4500,27.5500,26.9300,26.9700,26.95,-0.50,2197,0,8974
2022-11-23,K (May 2023),26.9700,27.0500,26.6800,26.6900,26.7004,-0.2496,1856,0,8830
