Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-09-26,M (Jun 2023),29.5400,29.5500,29.2500,29.5500,29.60,0,2,0,2
2022-09-27,M (Jun 2023),29.4000,29.9500,29.4000,29.7700,29.725,0.125,36,0,34
2022-09-28,M (Jun 2023),29.6700,29.9500,29.3500,29.4000,29.325,-0.400,12,0,46
2022-09-29,M (Jun 2023),29.4400,29.8000,29.2000,29.7500,29.575,0.250,24,0,65
2022-09-30,M (Jun 2023),29.4500,29.8500,29.3000,29.8500,29.70,0.125,18,0,79
2022-10-03,M (Jun 2023),29.3500,29.8500,29.0700,29.2500,29.175,-0.525,9,0,84
2022-10-04,M (Jun 2023),28.7500,29.0500,28.7100,29.0200,29.025,-0.150,32,0,107
2022-10-05,M (Jun 2023),29.4500,29.4500,29.2000,29.2100,29.30,0.275,36,0,124
2022-10-06,M (Jun 2023),29.1500,29.6000,29.0000,29.5200,29.575,0.275,50,0,156
2022-10-07,M (Jun 2023),29.6700,30.1000,29.5200,29.9500,29.95,0.375,119,0,209
2022-10-10,M (Jun 2023),30.1200,30.3000,30.1000,30.2000,30.10,0.15,18,0,224
2022-10-11,M (Jun 2023),30.3100,30.4500,29.9800,30.4000,30.40,0.30,132,0,324
2022-10-12,M (Jun 2023),30.4400,30.4600,30.3500,30.4500,30.35,-0.05,22,0,336
2022-10-13,M (Jun 2023),30.5700,30.6000,29.8100,29.8100,29.775,-0.575,38,0,344
2022-10-14,M (Jun 2023),29.7000,30.5000,29.4500,30.3000,30.30,0.525,81,0,396
2022-10-17,M (Jun 2023),30.2100,30.2100,29.5800,29.8000,29.80,-0.50,126,0,441
2022-10-18,M (Jun 2023),29.5000,29.8300,29.4200,29.6500,29.60,-0.20,71,0,473
2022-10-19,M (Jun 2023),29.5000,29.9000,29.4300,29.8000,29.75,0.15,131,0,503
2022-10-20,M (Jun 2023),29.8200,29.9000,29.5500,29.8000,29.80,0.05,161,0,514
2022-10-21,M (Jun 2023),29.7800,29.9000,29.5500,29.6100,29.7333,-0.0667,273,0,591
2022-10-24,M (Jun 2023),29.7500,29.8500,29.5000,29.5000,29.50,-0.2333,218,0,625
2022-10-25,M (Jun 2023),29.5400,29.5500,29.1000,29.2000,29.125,-0.375,156,0,703
2022-10-26,M (Jun 2023),29.1000,29.3000,28.7000,28.7500,28.80,-0.325,308,0,769
2022-10-27,M (Jun 2023),28.9500,29.0000,28.5500,28.9200,28.725,-0.075,181,0,802
2022-10-28,M (Jun 2023),28.3700,28.8500,28.1700,28.2500,28.30,-0.425,69,0,792
2022-10-31,M (Jun 2023),28.3700,28.5100,28.3000,28.3500,28.30,0.00,56,0,819
2022-11-01,M (Jun 2023),28.2000,28.2500,28.0000,28.0500,28.05,-0.25,215,0,885
2022-11-02,M (Jun 2023),28.0500,28.4000,27.8000,28.3500,28.35,0.30,174,0,923
2022-11-03,M (Jun 2023),28.3500,28.5500,27.8200,27.9900,28.00,-0.35,331,0,937
2022-11-04,M (Jun 2023),28.1400,28.2200,27.5500,27.8000,27.70,-0.30,142,0,965
2022-11-07,M (Jun 2023),27.8500,27.8500,27.5100,27.6100,27.65,-0.05,278,0,1056
2022-11-08,M (Jun 2023),27.5600,28.0000,27.5500,27.9500,27.95,0.30,419,0,1212
2022-11-09,M (Jun 2023),27.8600,28.6100,27.8500,28.5000,28.55,0.60,704,0,1475
2022-11-10,M (Jun 2023),28.5000,28.5000,27.6000,27.7500,27.7968,-0.7532,804,0,1766
2022-11-11,M (Jun 2023),27.7500,28.0200,27.6500,27.9500,27.95,0.1532,336,0,1888
2022-11-14,M (Jun 2023),27.9700,28.1500,27.8000,28.1000,28.125,0.175,736,0,2291
2022-11-15,M (Jun 2023),28.1000,28.3700,27.8000,28.2500,28.20,0.075,868,0,2675
2022-11-16,M (Jun 2023),28.3000,28.3500,27.9700,28.0500,28.05,-0.15,1330,0,3083
2022-11-17,M (Jun 2023),28.0300,28.3500,27.9500,28.0200,28.00,-0.05,1552,0,3686
2022-11-18,M (Jun 2023),28.0500,28.1000,27.8200,27.8500,27.90,-0.10,1017,0,4009
2022-11-21,M (Jun 2023),27.8000,27.9000,27.5500,27.6000,27.5955,-0.3045,814,0,4109
2022-11-22,M (Jun 2023),27.6000,27.6300,27.1000,27.1500,27.15,-0.4455,997,0,4287
2022-11-23,M (Jun 2023),27.1500,27.1700,26.8500,26.8700,26.90,-0.25,699,0,4376
